YOS,Officer,Enlisted,PriorEnlistedOfficer
1,O-1,E-2,E-2
2,O-2,E-3,E-3
3,O-2,E-3,E-3
4,O-3,E-4,E-4
5,O-3,E-4,E-4
6,O-3,E-5,E-5
7,O-3,E-5,E-5
8,O-3,E-5,E-5
9,O-3,E-6,O-1
10,O-4,E-6,O-2
11,O-4,E-6,O-2
12,O-4,E-6,O-3
13,O-4,E-7,O-3
14,O-4,E-7,O-3
15,O-4,E-7,O-3
16,O-5,E-7,O-3
17,O-5,E-8,O-3
18,O-5,E-8,O-4
19,O-5,E-8,O-4
20,O-5,E-8,O-4
21,O-5,E-9,O-4
22,O-6,E-9,O-4
23,O-6,E-9,O-4
24,O-6,E-9,O-5
25,O-6,E-9,O-5
26,O-6,E-9,O-5
27,O-6,E-9,O-5
28,O-7,E-9,O-5
29,O-7,E-9,O-5
30,O-7,E-9,O-6
31,O-8,,O-6
32,O-8,,O-6
33,O-8,,O-6
34,O-8,,O-6
35,O-8,,O-6
36,O-8,,O-7
37,O-8,,O-7
38,O-8,,O-7
39,O-8,,O-8
40,O-8,,O-8
